,answer_32214,answer_32215,answer_32268,answer_32245,x,y,mu_x,mu_y,width,height,angle
135,1,0,2,0,0.055276382,-0.266331658,-0.073288944,-0.042944995,0.734937663,1.066440099,-157.6056821
136,1,0,2,1,0.407035176,-0.467336683,0.270411986,-0.136798826,0.814063899,1.031635114,-152.9503191
137,1,0,2,2,0.417085427,-0.467336683,0.388045647,-0.171229903,0.737602129,0.978513904,-167.7775382
138,1,0,2,3,0.457286432,-0.417085427,0.495709732,-0.193229252,0.644220169,0.953820497,-176.2211024
139,1,0,2,-1,0.447236181,-0.427135678,0.399483991,-0.167814054,0.774035397,0.989931253,-162.2326215
140,1,0,3,0,0.256281407,-0.396984925,0.213093484,-0.419769021,0.659923841,0.76253061,162.761013
141,1,0,3,1,0.59798995,-0.577889447,0.504927935,-0.399679571,0.656542289,0.790009875,166.0439027
142,1,0,3,2,0.648241206,-0.608040201,0.549647971,-0.396738327,0.599328562,0.790118768,171.0138036
143,1,0,3,3,0.708542714,-0.638190955,0.606001544,-0.392600277,0.536793676,0.795007381,173.9927014
144,1,0,3,-1,0.688442211,-0.628140704,0.573597318,-0.39484096,0.588155654,0.793214141,171.9074356
145,1,0,-1,0,-0.195979899,-0.035175879,-0.165172111,0.085771104,0.730870274,1.017728732,-161.8398017
146,1,0,-1,1,-0.005025126,-0.155778894,0.153962038,-0.006621225,0.831234949,1.083166679,-149.8860751
147,1,0,-1,2,0.216080402,-0.296482412,0.302182682,-0.050090705,0.771892038,1.055372638,-161.0458856
148,1,0,-1,3,0.547738693,-0.507537688,0.438191798,-0.08881494,0.687484813,1.042318203,-169.3984901
149,1,0,-1,-1,0.467336683,-0.457286432,0.301146142,-0.049160167,0.821283701,1.078914865,-153.8842562
150,1,1,0,0,-0.417085427,0.005025126,-0.397863547,0.060259418,0.707438829,0.971340751,178.078244
151,1,1,0,1,-0.306532663,-0.055276382,-0.195685472,0.063454634,0.820098687,0.961994359,170.7549801
152,1,1,0,2,0.015075377,-0.105527638,-0.019161426,0.06700682,0.808202356,0.954289557,167.2148134
153,1,1,0,3,0.195979899,-0.085427136,0.166359019,0.076369157,0.723393894,0.950629913,167.849242
154,1,1,0,-1,0.015075377,-0.115577889,-0.095619886,0.068889109,0.898394298,0.971982634,151.3839614
155,1,1,1,0,-0.326633166,-0.045226131,-0.334269312,-0.022474357,0.751411587,1.007515573,-171.8918032
156,1,1,1,1,0.155778894,-0.326633166,-0.076284791,-0.053942488,0.881580887,0.999745768,-161.6452224
157,1,1,1,2,0.165829146,-0.326633166,0.105799953,-0.076180112,0.837000839,0.977371926,-170.525127
158,1,1,1,3,0.266331658,-0.206030151,0.281197724,-0.092397361,0.737235795,0.967010956,-179.2310187
159,1,1,1,-1,0.195979899,-0.286432161,0.055547802,-0.066761349,0.929177464,1.004343296,-147.0212043
160,1,1,2,0,-0.226130653,-0.105527638,-0.263968272,-0.100766002,0.779323057,1.052919583,-160.3564747
161,1,1,2,1,0.386934673,-0.457286432,0.060859179,-0.177046546,0.867735002,1.054961031,-142.4309162
162,1,1,2,2,0.396984925,-0.467336683,0.233891417,-0.219634836,0.808687596,0.981737201,-157.2478626
163,1,1,2,3,0.407035176,-0.467336683,0.387337544,-0.250027341,0.703052128,0.933396209,-173.0968339
164,1,1,2,-1,0.396984925,-0.467336683,0.208770478,-0.209104692,0.867616055,1.031619093,-139.818365
165,1,1,3,0,0.105527638,-0.618090452,0.068700054,-0.484348416,0.675743044,0.766365063,-47.32490585
166,1,1,3,1,0.396984925,-0.467336683,0.371541722,-0.457848368,0.702471554,0.787683883,-48.96360068
167,1,1,3,2,0.43718593,-0.487437186,0.445686539,-0.451073058,0.651348765,0.756695878,158.6571565
168,1,1,3,3,0.527638191,-0.537688442,0.52449379,-0.444822381,0.584536027,0.756494734,169.1997386
169,1,1,3,-1,0.487437186,-0.51758794,0.46815583,-0.44970796,0.662113586,0.763107487,156.2531516
170,1,1,-1,0,-0.396984925,-0.005025126,-0.349461124,0.003760501,0.756293593,1.010823031,-170.3354286
171,1,1,-1,1,-0.256281407,-0.085427136,-0.068683175,-0.053265226,0.880112283,1.061857317,-147.3474411
172,1,1,-1,2,0.015075377,-0.236180905,0.126745265,-0.095608328,0.840925485,1.046941851,-153.9257829
173,1,1,-1,3,0.386934673,-0.447236181,0.315226822,-0.140277328,0.745289479,1.023138709,-165.6518661
174,1,1,-1,-1,0.35678392,-0.43718593,0.075230652,-0.088270176,0.906293718,1.097572357,-138.0010641
175,1,2,0,0,-0.487437186,0.045226131,-0.478083058,0.012964659,0.63894933,0.971661456,-177.3604071
176,1,2,0,1,-0.326633166,-0.045226131,-0.324863631,0.002043065,0.743101643,0.95863806,-178.5467427
177,1,2,0,2,-0.115577889,-0.165829146,-0.166303433,-0.007698799,0.790539304,0.948926853,177.4239171
178,1,2,0,3,-0.045226131,-0.206030151,0.032042184,-0.007609868,0.738313474,0.949790039,168.9553724
179,1,2,0,-1,-0.145728643,-0.145728643,-0.264638877,0.004355963,0.851407836,0.95962225,178.9671499
180,1,2,1,0,-0.417085427,0.005025126,-0.425689855,-0.063133297,0.675393404,1.008788222,-170.3907715
181,1,2,1,1,-0.206030151,-0.115577889,-0.230565945,-0.100284782,0.804173436,0.998122766,-163.7274311
182,1,2,1,2,0.005025126,-0.246231156,-0.051676574,-0.13343183,0.826070003,0.974443188,-164.8436158
183,1,2,1,3,0.155778894,-0.326633166,0.147987483,-0.15636044,0.77164672,0.951510528,-179.4511053
184,1,2,1,-1,0.155778894,-0.326633166,-0.13380393,-0.110567088,0.894971644,1.012060347,-147.9861108
185,1,2,2,0,-0.346733668,-0.035175879,-0.370500142,-0.129677187,0.70479341,1.047826063,-162.5901966
186,1,2,2,1,-0.135678392,-0.165829146,-0.117635172,-0.201300028,0.828738419,1.05190031,-146.8060103
187,1,2,2,2,0.035175879,-0.668341709,0.073130485,-0.257203977,0.820665049,0.993945055,-149.7101381
188,1,2,2,3,0.396984925,-0.467336683,0.263855445,-0.296003322,0.760727788,0.920820253,-169.8681288
189,1,2,2,-1,0.316582915,-0.487437186,0.013606479,-0.230388793,0.868963328,1.0717921,-134.2405652
190,1,2,3,0,-0.075376884,-0.909547739,-0.051767917,-0.535781637,0.653337378,0.724213131,-50.98131731
191,1,2,3,1,0.085427136,-0.829145729,0.221326699,-0.509180253,0.680069103,0.819493789,-66.29322427
192,1,2,3,2,0.095477387,-0.849246231,0.324986655,-0.499904845,0.663804085,0.76470514,-48.69787589
193,1,2,3,3,0.487437186,-0.51758794,0.431967182,-0.487996169,0.629128582,0.746183627,151.9248761
194,1,2,3,-1,0.35678392,-0.618090452,0.342417022,-0.496842326,0.680105848,0.795230161,-57.26096543
195,1,2,-1,0,-0.467336683,0.035175879,-0.441719355,-0.033842141,0.676095519,1.005865627,-170.3692743
196,1,2,-1,1,-0.326633166,-0.045226131,-0.233751893,-0.083235715,0.814924609,1.030532119,-155.5009283
197,1,2,-1,2,0.005025126,-0.236180905,-0.042036992,-0.132196922,0.834949068,1.033128536,-151.4396626
198,1,2,-1,3,0.105527638,-0.296482412,0.177327735,-0.182125562,0.790276717,1.002239721,-162.1736761
199,1,2,-1,-1,-0.135678392,-0.155778894,-0.127090767,-0.109206688,0.884769737,1.082841882,-138.9278062
200,1,3,0,0,-0.67839196,0.155778894,-0.558890097,-0.04262141,0.583147057,0.975030779,-176.415991
201,1,3,0,1,-0.326633166,-0.045226131,-0.440853688,-0.06029471,0.664803347,0.961569149,-175.1497788
202,1,3,0,2,-0.155778894,-0.145728643,-0.310146071,-0.075863712,0.735205306,0.947251081,-173.5014823
203,1,3,0,3,-0.065326633,-0.195979899,-0.112443645,-0.096353663,0.697787464,0.922436977,-179.3183007
204,1,3,0,-1,-0.487437186,0.045226131,-0.418942569,-0.059464855,0.74364341,0.962574528,-172.5283046
205,1,3,1,0,-0.648241206,0.135678392,-0.515576982,-0.11007587,0.618118218,1.006091424,-171.0650169
206,1,3,1,1,-0.326633166,-0.045226131,-0.368834447,-0.149643041,0.713254339,0.99455196,-165.5740955
207,1,3,1,2,0.005025126,-0.477386935,-0.211965234,-0.187313977,0.761596723,0.975560376,-160.0821012
208,1,3,1,3,0.155778894,-0.326633166,-0.006233622,-0.231267533,0.724207638,0.923431495,-167.7496569
209,1,3,1,-1,-0.346733668,-0.035175879,-0.319149591,-0.156813226,0.795226587,1.007519328,-155.5620017
210,1,3,2,0,-0.628140704,0.125628141,-0.472539529,-0.164018234,0.64947605,1.034853387,-165.13176
211,1,3,2,1,-0.326633166,-0.045226131,-0.284691306,-0.230808377,0.748998641,1.036585415,-153.373545
212,1,3,2,2,-0.005025126,-0.83919598,-0.102454568,-0.293633107,0.761643203,1.007659076,-147.5110649
213,1,3,2,3,0.226130653,-0.688442211,0.107693063,-0.355887807,0.719528003,0.908798644,-155.8384089
214,1,3,2,-1,0.075376884,-0.798994975,-0.199989403,-0.254144292,0.801538401,1.073477014,-140.447803
215,1,3,3,0,-0.236180905,-1,-0.166066592,-0.581269415,0.631367332,0.692121193,-59.99313057
216,1,3,3,1,-0.135678392,-1,0.050863607,-0.569757786,0.636555701,0.776049348,-77.46324008
217,1,3,3,2,-0.005025126,-1,0.176374104,-0.562676607,0.63130162,0.719080085,-71.16921804
218,1,3,3,3,0.246231156,-0.83919598,0.298291184,-0.556192216,0.624500295,0.674570969,-54.29729702
219,1,3,3,-1,0.105527638,-0.939698492,0.170869171,-0.56307352,0.637341283,0.787416012,-78.66777721
220,1,3,-1,0,-0.67839196,0.155778894,-0.531322913,-0.080422124,0.614911149,0.999823145,-171.7552733
221,1,3,-1,1,-0.326633166,-0.045226131,-0.379975509,-0.123369945,0.724683401,1.007218708,-162.6671972
222,1,3,-1,2,-0.065326633,-0.195979899,-0.21520749,-0.170859415,0.773977098,1.017083917,-153.4679648
223,1,3,-1,3,0.035175879,-0.256281407,0.012479122,-0.236211061,0.73895631,0.981681263,-156.3370078
224,1,3,-1,-1,-0.467336683,0.035175879,-0.325260276,-0.139455149,0.801337725,1.042528082,-149.9637796
225,1,-1,0,0,-0.608040201,0.115577889,-0.487963486,0.002208537,0.670431944,0.97971498,178.9482405
226,1,-1,0,1,-0.326633166,-0.045226131,-0.301173895,0.009275457,0.819769663,0.979553168,167.0462037
227,1,-1,0,2,-0.015075377,-0.216080402,-0.113207857,0.023259883,0.849625279,0.992215596,153.8187869
228,1,-1,0,3,0.055276382,-0.206030151,0.117838053,0.050353749,0.767353099,0.995576794,156.269536
229,1,-1,0,-1,-0.27638191,-0.075376884,-0.21529258,0.023878668,0.907191624,1.01428957,140.8670209
230,1,-1,1,0,-0.557788945,0.085427136,-0.432576068,-0.070269262,0.721049797,1.009004944,-173.4440127
231,1,-1,1,1,-0.326633166,-0.045226131,-0.187765036,-0.090117732,0.916595322,0.996844684,-169.2764059
232,1,-1,1,2,0.155778894,-0.326633166,0.019944738,-0.101646797,0.920732739,0.983279594,176.6412869
233,1,-1,1,3,0.165829146,-0.326633166,0.242411402,-0.103791246,0.80612923,0.983768435,169.9432698
234,1,-1,1,-1,0.155778894,-0.326633166,-0.060655625,-0.088739992,0.989392144,1.027116692,-103.8153187
235,1,-1,2,0,-0.537688442,0.075376884,-0.37249286,-0.133678957,0.764318046,1.041915197,-163.4319745
236,1,-1,2,1,0.316582915,-0.417085427,-0.051720134,-0.19135353,0.92430806,1.062237571,-133.4865719
237,1,-1,2,2,0.407035176,-0.467336683,0.160772872,-0.227945303,0.90329094,0.991632167,-146.0336193
238,1,-1,2,3,0.407035176,-0.467336683,0.359783493,-0.250210221,0.779413858,0.940774754,-179.1740745
239,1,-1,2,-1,0.407035176,-0.467336683,0.106839521,-0.209957821,0.937495016,1.082646074,-120.0636099
240,1,-1,3,0,-0.185929648,-1,-0.026706547,-0.521910048,0.662503216,0.804903945,-57.84983247
241,1,-1,3,1,0.457286432,-0.497487437,0.314433687,-0.471032725,0.701311151,0.878819046,-60.98411816
242,1,-1,3,2,0.527638191,-0.537688442,0.417422212,-0.455519069,0.677630987,0.808050184,139.0497766
243,1,-1,3,3,0.59798995,-0.577889447,0.516682985,-0.440085829,0.618695455,0.784645991,159.6824047
244,1,-1,3,-1,0.577889447,-0.567839196,0.436316825,-0.452187458,0.693419068,0.826382182,-46.17423937
245,1,-1,-1,0,-0.557788945,0.085427136,-0.448376598,-0.042773386,0.721889362,1.006724858,-173.0395654
