,index,party,color,party_id,yays,nays
1273,3420,SP,#FF0000,1,47,28
1274,3421,SP,#FF0000,1,44,31
1275,3426,FDP,#4169E1,2,39,36
1276,3427,FDP,#4169E1,2,38,37
1277,3428,SVP,#006400,0,45,30
1278,3429,glp,#32CD32,6,39,36
1279,3432,SVP,#006400,0,31,44
1280,3433,SVP,#006400,0,39,36
1281,3434,glp,#32CD32,6,45,30
1282,3435,CVP,#FFA500,3,53,22
1284,3438,FDP,#4169E1,2,33,42
1285,3439,FDP,#4169E1,2,27,48
1286,3440,FDP,#4169E1,2,33,42
1288,3442,CVP,#FFA500,3,45,30
1289,3443,FDP,#4169E1,2,38,37
1290,3445,CVP,#FFA500,3,46,29
1291,3447,SVP,#006400,0,42,33
1292,3448,SVP,#006400,0,35,40
1294,3460,SVP,#006400,0,47,28
1295,3464,glp,#32CD32,6,52,23
1296,3465,glp,#32CD32,6,50,25
1297,3466,glp,#32CD32,6,43,32
1300,3471,Grüne,#008000,4,50,25
1301,3472,BDP,#800020,5,56,19
1302,3478,SP,#FF0000,1,44,31
1303,3479,Grüne,#008000,4,43,32
1304,3480,SP,#FF0000,1,45,30
1305,3486,Grüne,#008000,4,46,29
1306,3487,Grüne,#008000,4,41,34
1307,3491,glp,#32CD32,6,48,27
1308,3493,Grüne,#008000,4,43,32
1309,3494,glp,#32CD32,6,46,29
1310,3495,Grüne,#008000,4,42,33
1312,3499,glp,#32CD32,6,43,32
1313,3500,CVP,#FFA500,3,40,35
1314,3501,CVP,#FFA500,3,31,44
1315,3502,CVP,#FFA500,3,30,45
1316,3503,Grüne,#008000,4,44,31
1317,3504,FDP,#4169E1,2,21,54
1318,3506,Grüne,#008000,4,42,33
1319,3507,CVP,#FFA500,3,29,46
1320,3508,CVP,#FFA500,3,40,35
1321,3509,CVP,#FFA500,3,31,44
1322,3510,CVP,#FFA500,3,37,38
1323,3511,CVP,#FFA500,3,34,41
1324,3514,SP,#FF0000,1,47,28
1325,3515,SP,#FF0000,1,50,25
1326,3516,SP,#FF0000,1,47,28
1327,3517,SP,#FF0000,1,44,31
1328,3518,SP,#FF0000,1,45,30
1330,3522,FDP,#4169E1,2,31,44
1331,3523,FDP,#4169E1,2,45,30
1332,3525,FDP,#4169E1,2,32,43
1333,3526,SVP,#006400,0,39,36
1334,3527,glp,#32CD32,6,44,31
1335,3528,glp,#32CD32,6,39,36
1337,3530,glp,#32CD32,6,50,25
1338,3531,glp,#32CD32,6,30,45
1339,3532,glp,#32CD32,6,51,24
1340,3533,CVP,#FFA500,3,31,44
1341,3534,CVP,#FFA500,3,29,46
1342,3535,CVP,#FFA500,3,38,37
1343,3536,CVP,#FFA500,3,48,27
1344,3537,CVP,#FFA500,3,54,21
1345,3539,SP,#FF0000,1,49,26
1346,3540,SVP,#006400,0,23,52
1347,3542,CVP,#FFA500,3,51,24
1348,3543,CVP,#FFA500,3,28,47
1349,3555,SVP,#006400,0,40,35
1350,3559,glp,#32CD32,6,41,34
1351,3560,BDP,#800020,5,44,31
